"Environment" "Phenotype" "pine_correlation" "spruce_correlation" "pine_slope_bayenv" "pine_score2_bayenv" "pine_score1_bayenv" "spruce_slope_bayenv" "spruce_score2_bayenv" "spruce_score1_bayenv"
"362" "TD" "ColdInjurySpringS02_Mean" -0.16 -0.44 0.185318864847956 0.54 7.26883745218949e-05 0.122430269896208 0.536 5.45410925996668e-05
"346" "SHM" "FinalRootWeightS02_g" 0.16 0.24 NA NA NA NA NA NA
"325" "PAS" "BudSet_day" 0.16 0.02 0.166175387351179 0.5475 7.14593784079144e-05 -0.168089494477141 0.458 -7.81084636806368e-05
"321" "NFFD" "MaxGthRate_mm_Day" -0.16 -0.27 -0.127123999794712 0.4645 -5.05073679956937e-05 -0.0151871683850844 0.496 -6.54854361433349e-06
"316" "NFFD" "Gth5pctS02_Day" 0.16 0.17 0.149905636528791 0.536 5.41264481352013e-05 0.147850716472653 0.5386 6.11401328928162e-05
"310" "NFFD" "ColdInjuryMidWinterS02_Mean" 0.16 0.01 0.249835192212095 0.5635 0.000109624892140723 0.0022818027093731 0.5009 1.19893570381355e-06
"283" "MCMT" "Gth95pctS02_Day" 0.16 0.42 0.0594807733036298 0.5138 2.29064586584411e-05 0.302740423508661 0.5772 0.00013824063030756
"261" "MAT" "FinalRootWeightS02_g" 0.16 0.4 NA NA NA NA NA NA
"209" "log(MAP)" "ColdInjurySpringS02_Mean" 0.16 0.4 0.133155931321685 0.534 5.22259416545542e-05 0.105822384684892 0.5347 4.71431180343884e-05
"178" "FFP" "FinalStemDiamS02_mm" 0.16 0.01 0.0703679478625535 0.518 2.69808339112358e-05 0.118550250458798 0.5309 5.24684290654982e-05
"172" "FFP" "BudSet_day" 0.16 0.26 0.115658330248265 0.5346 4.97393407658927e-05 0.280196446680843 0.5814 0.000130205508154431
"140" "Eref" "ColdInjuryMidWinterS02_Mean" 0.16 0.16 0.195736729112307 0.5462 8.58884943594178e-05 0.0891798651922506 0.5273 4.67890144340497e-05
"113" "Elevation" "Gth95pctS02_Day" -0.16 0.01 0.192156421225667 0.5416 7.40093021506155e-05 -0.213226597036354 0.4468 -9.73645741401839e-05
"97" "eFFP" "HtFinalS01_mm" 0.16 0.2 0.163624477555727 0.5391 6.33757748601549e-05 0.181382999312917 0.5503 7.81651891381547e-05
